text,binary,multiclass
Sería bueno si MissGuided realmente tuviera existencias por una vez'������������,Hope,Sarcasm
Encuéntrame un tiroteo masivo en Utah donde el transporte oculto en el campus es legal.,Not Hope,Sarcasm
"Oh, me encantan los juegos de semántica, la viabilidad ahora es de alrededor de 23-25 ​​semanas de gestación y realmente se basa en el peso más de la edad. ",Not Hope,Sarcasm
"Entonces, tu respuesta a la pregunta es ""nada"", ¿Marc?",Not Hope,Sarcasm
"Claramente, no te importa, porque si lo hicieras, tendrías que admitir que estabas equivocado. ",Not Hope,Sarcasm
@Ponos_en muy agradable. ,Hope,Sarcasm
¿Por qué no puedes conducir un tanque? ,Not Hope,Sarcasm
Pueden rechazar cualquier ceremonia que deseen. ,Not Hope,Sarcasm
"Eso es bastante divertido.
",Not Hope,Sarcasm
¿Quién está listo para las tormentas monzónicas de fin de semana?!?!,Hope,Sarcasm
Solíamos burlarnos de los hombres ricos por usar 3in1 resulta que nunca usaban nada en absoluto `` '',Not Hope,Sarcasm
exactamente. ,Not Hope,Sarcasm
Dios tiene emociones wow. ,Not Hope,Sarcasm
Lo que sea que suenas como un gobierno oficial ahora ¿Por qué tantas preguntas? ,Not Hope,Sarcasm
"Esa es la diferencia entre liberales y conservadores (también conocidos como ""estadounidenses reales). Los conservadores tienen sentido del humor. Los liberales no.",Not Hope,Sarcasm
Si tan solo Ann Coulter pudiera informar un pastel lanzando al administrador como un pequeño bebé malcriado. ,Hope,Sarcasm
¿Entonces rezo al azar todas las noches antes de irme a la cama?,Hope,Sarcasm
"Entonces, veamos, se refirió a cómo se aplicó la 1ª Enmienda a los Estados, publicó la Cláusula de Privilegios e Inmunidades de la 14ª Enmienda y luego me preguntó si pensaba que algo no estaba claro. ",Not Hope,Sarcasm
"Entonces, no hay argumento de respuesta, entonces. ",Not Hope,Sarcasm
"Oh querido.
",Not Hope,Sarcasm
Lectura selectiva ¿eh? ,Not Hope,Sarcasm
"Las matemáticas también son confusas, no significa que debamos deshacernos de ello.",Not Hope,Sarcasm
"Con usted es bastante fácil, solo suponemos que todo es BS, funciona cada vez.",Hope,Sarcasm
"Um, Bassman, entonces tú, la única persona en el mundo que es tan ""pura como la nieve impulsada por el viento"", es la que puede juzgar a los demás, incluidos los demócratas. ",Not Hope,Sarcasm
¿Leíste siquiera Ythe OP? ,Not Hope,Sarcasm
¿Qué tal esta explicación? Estás leyendo demasiado en tu preciosa Biblia.,Not Hope,Sarcasm
"Eso es bastante divertido, vender de ti. ",Not Hope,Sarcasm
Tan raro cómo Venmo no me ha venido.,Not Hope,Sarcasm
"De acuerdo, y el vehículo en el que viajarán será el Prosperity Express. :)",Hope,Sarcasm
"Es muy claro para mí ahora que eres demasiado estúpido para entender mi punto, o eres demasiado pollo para abordarlo.
",Not Hope,Sarcasm
mal de nuevo !! ,Not Hope,Sarcasm
"Me estás tirando de la pierna, ¿verdad? ",Not Hope,Sarcasm
Debo ser bendecido de estar rodeado por tantos carteles con una línea directa a Dios para que sepan quién es salvado o en el infierno. ,Not Hope,Sarcasm
Buena idea ... excepto que realmente no tenemos que elegirlo para ninguna publicación ... solo envíelo allí. ,Hope,Sarcasm
"Ahí está la OTAN, ha justificado una solución final para el ""problema mexicano"". ",Not Hope,Sarcasm
"Me encanta cómo lo que sientes ""personalmente"" está en conflicto directo con los estudios acedémicos. ",Not Hope,Sarcasm
Hola Hydra - - ¿Sabes lo que me parece increíble? ,Hope,Sarcasm
"Debes estar pensando en la física ... Lo último que miré, los biólogos no estaban tratando de explicar la creación del universo. ",Not Hope,Sarcasm
"Me encanta cómo BITM puede comenzar todos estos nuevos hilos que irónicamente, dicen lo mismo una y otra vez, pero de alguna manera cuando se le presiona para hacer una copia de seguridad de sus propias posiciones de política, continuamente huye los hilos. ",Hope,Sarcasm
Lo que sea. ,Not Hope,Sarcasm
"Es bueno ver que algunas organizaciones patrimoniales están haciendo lo correcto y poniendo la seguridad de su personal, visitantes y voluntarios primero. ",Hope,Sarcasm
"Y aquí está, corregido para eliminar ese pequeño toque de sensacionalismo que cree que es necesario para aumentar el apoyo a su causa.",Not Hope,Sarcasm
"Vaya, buena respuesta. ",Not Hope,Sarcasm
"No, ss. ",Not Hope,Sarcasm
Es tan genial que haya tomado medicamentos para el dolor y me duele la espalda y me duele �����������������������,Not Hope,Sarcasm
¿Más de 400 días de no hacer nada excepto un intento débilmente fallido de rescatar a los rehenes en una campana? ,Not Hope,Sarcasm
Sería bueno si mi cuerpo me dejara dormir ...,Hope,Sarcasm
"Bien, asociarte con él. ",Not Hope,Sarcasm
"Supongo que ahora las cosas fundamentales deberían darle justificación a las afirmaciones que no han hecho.
",Not Hope,Sarcasm
"Eres fantástico para ser un fanático.
",Not Hope,Sarcasm
"Entonces, entonces sientes que lo que hiciste fue un pecado. ",Hope,Sarcasm
"Es la primera vez que te veo bajo esa luz, y tampoco me gusta, estoy realmente sorprendido de tu postura sobre esta. ",Not Hope,Sarcasm
"Entonces, el diente que dio lugar al hombre de Nebraska fue evidencia, evidencia de qué, un diente.   ",Not Hope,Sarcasm
"Ah, entonces, cuando presiono para buretas para mis clases de química, ¿estoy adoctrinando a mis hijos en los males de la yodometría? ",Not Hope,Sarcasm
"Primer día de trabajo, y ya he llorado en el trabajo ����",Not Hope,Sarcasm
"Sí, porque las calificaciones de Brady y la aprobación de un estado en particular, las leyes de armas no tienen relación con la realidad en lo que respecta al crimen y la seguridad. ",Not Hope,Sarcasm
"Sí, lo hicieron: ""... se comió a sí mismo"".   ",Not Hope,Sarcasm
La pregunta importante es; ,Not Hope,Sarcasm
"Hola Siri, ¿cómo dejo de simplemente simplemente?",Not Hope,Sarcasm
¿El primer juego no comienza cuando se supone que debe hacerlo? ,Not Hope,Sarcasm
"Vaya, estoy sorprendido. ",Not Hope,Sarcasm
