binary,multiclass,translate_german
Hope,Sarcasm,"es wäre schön, wenn missguided tatsächlich stock für einmal hatte"
Not Hope,Sarcasm,"Finde mir eine Massenschießerei in Utah, wo verstecktes Tragen auf dem Campus legal ist."
Not Hope,Sarcasm,"Oh, Ich liebe Semantik-Spiele Nun, die Lebensfähigkeit ist jetzt um 23-25 Wochen Gestation und ist wirklich auf Gewicht mehr als Alter basiert. Allerdingsm der früheren Anstoß zu heroischen Intervention ist jetzt durch die ziemlich schrecklichen Behinderungen und Komplikationen im jüngeren Alter bewältigt"
Not Hope,Sarcasm,"Also ist deine Antwort auf die Frage dann ""Nichts"", Marc?"
Not Hope,Sarcasm,"Klar, du gibst dir keine Mühe, denn wenn du das hättest, dann würdest du zugegeben haben, dass du falsch warst. Bedeutet das, dass du glaubst, dass die Einführung von Geschwindigkeitsbeschränkungen eine schlechte Idee ist?"
Hope,Sarcasm,"@PONOS_DE Sehr nett. Wir sind jetzt kurz auf dem neuesten Stand. Hoffentlich dauert es nicht so lange, um die englische Veröffentlichung der neuen Pixie nach 9.10."
Not Hope,Sarcasm,"Warum können Sie nicht einen Tank fahren? Gehen Sie einfach ein Überschuss kaufen, ersetzen Sie den Motor, kaufen Sie etwas Land, um es zu fahren (die Treppen sind wirklich hart auf dem Weg). Der einzige Begrenzungsfaktor ist Kosten, so gehen Sie direkt voran und genießen."
Not Hope,Sarcasm,"Sie können jede Zeremonie ablehnen, die sie wollen. Dass es seit Jahren \""offen für alle ist\"" trägt keinerlei Gewicht. Es ist Kircheneigentum - das ist im Wesentlichen dasselbe wie eine Kirche, die sagt, sie will keine homosexuellen Zeremonien in ihrem Heiligtum, die Kirchen frei zu ablehnen sind. Vielleicht werden Kirchen auf solche Weisen in Kanada, aber nicht in den USA auferlegt. Angesichts dieser Fragen bin ich nicht sicher, dass die HRC ehrlicher ist als das Video, auf das sie reagieren.""So dann, wenn ich ein Geschäft oder ein Stück Eigentum habe, könnte ich dann weigern, fundamentalistische anti-gay Christen zu verkaufen oder zu unterhalten und \Dass es seit Jahren \""offen für alle ist\"" trägt keinerlei Gewicht.\"" Es ist mein Eigentum und ich mag die Unmoralität von fundamentalistischen anti-gay Christen nicht"
Not Hope,Sarcasm,"Das ist ziemlich lustig. Über welchen Polizeistaat sprechen Sie? Derjenigen, wo die Kinder ihre spontane Dankbarkeit gegenüber dem Staat nicht zeigen müssen?"
Hope,Sarcasm,Wer ist bereit für Monsun-Stürme allellllll Wochenende?!?!
Not Hope,Sarcasm,"wir machten Spaß an reichen Männern für die Verwendung 3in1 stellte sich heraus, dass sie nie etwas verwendet überhaupt"
Not Hope,Sarcasm,"genau. und Sie verwenden dieses Beispiel, um zu zeigen, wie Feministinnen schlechte Mütter sind. sarah effing palin...von allen Leuten...Sie wählen die schlimmste Mutter... ist sie sogar eine Feministin? sie scheint zu dumm. bearbeiten: nur weil eine Frau ist ernst zu ihrer Karriere bedeutet nicht, dass sie eine Feministin."
Not Hope,Sarcasm,"Gott hat Emotionen wow. das muss lächerlich sein, was ich in den alten Tagen gehört habe, Sie sprachen, wie sie würden Sie zu einer Kuckucksfarm schicken. Gott liebt Sie Gott hasst s Sie etc etc etc. Was für eine Reihe von Schweinewasch. Was meinen Leute damit? Sie würden denken, dass Gott saß und hatte Frühstück mit Ihnen oder so etwas. emoticonxwow"
Not Hope,Sarcasm,"Was auch immer Sie jetzt wie eine Goverment-Offical klingen, warum so viele Fragen? huh was versuchen Sie zu bekommen? Ooaman oder sollte ich sagen, Ordnung der Apostrophe Mann?"
Not Hope,Sarcasm,"Das ist der Unterschied zwischen Liberalen und Konservativen (AKA ""Real Americans.) Konservative haben einen Sinn für Humor. Liberalen nicht."
Hope,Sarcasm,"Wenn nur Ann Coulter einen Kuchen werfen könnte Bericht an den Administrator wie ein verdorbenes kleines kriechen Baby. emoticonXRolleyes Sie ist wahrscheinlich mehr von einem ""Mann"" als das obwohl. :p Waxy"
Hope,Sarcasm,Also bete ich jeden Abend vor dem Schlaf zufällig?
Not Hope,Sarcasm,"Also lass sehen, Sie erwähnten, wie die 1. Änderung auf die Staaten angewandt wurde, veröffentlichte die 14. Änderung Privilegien und Immunitätsklausel und dann gefragt, ob ich dachte, dass etwas unklar war. Natürlich ist die Privilegien und Immunitätsklausel oft falsch, um die 1. Änderung von Leuten, die nicht wissen, was sie über sprechen, aber dies ist nur Zufall, weil Sie zufällig zitiert Teil der 14. Änderung, aber implizierte es alle. Jetzt, wenn ich es zu dem, was es oben sagte, würden Sie fühlen, dass eine genaue Aussage ist? Wahrscheinlich, da Sie scheinen nicht zu verstehen, einen deutlichen Unterschied zwischen ""Originalverständnis"" und ""Originalkonstitution"" zu verstehen.Ihr Stolz ruiniert Sie, mein Freund."
Not Hope,Sarcasm,"also keine Antwort argumentieren, dann. dachte ich nicht. schließlich, warum argumentieren, wenn flinging Beleidigungen ist so viel einfacher? seltsam, obwohl, dass Sie so dünn-skinned über andere beleidigen Sie sein sollten."
Not Hope,Sarcasm,"Oh Liebe. Jetzt mal sehen..Sie sagen nicht, dass Gypsien nicht eine Kultur des Diebstahls und Gewalt haben. Sie sagen, ich kann nicht sagen, dass sie eine Kultur des Diebstahls und Gewalt wegen der oben genannten haben?"
Not Hope,Sarcasm,"Selektives Lesen huh? Nun, es gibt keinen so blinden wie er, der nicht sehen wird."
Not Hope,Sarcasm,"Auch Mathematik ist verwirrend, bedeutet nicht, dass wir es loswerden sollten."
Hope,Sarcasm,"mit Ihnen ist es ziemlich einfach, wir gehen davon aus, es ist alles BS, funktioniert jedes Mal."
Not Hope,Sarcasm,"Um, Bassman, also du, die einzige Person in der Welt, die so ""rein ist wie der windgetriebene Schnee"", ist die, die andere beurteilen kann, einschließlich Demokraten. Um, für den Rekord, ich wuchs auf der Prairie und sah ein gutes Stück ""windgetriebene Schnee"" und es war nicht besonders rein. Eine schwache und lachbare Metapher."
Not Hope,Sarcasm,"Haben Sie sogar das OP gelesen? Haben Sie sogar den Titel gelesen? Sinnlose Unterscheidung? Huh. Ich verstehe, was Sie sagen. Ich weiß auch, dass Sie Ihr Argument ändern. Als es bewiesen wurde, dass Sanford tatsächlich auf Familienwerte fuhr, Sie Ihr Argument geändert. Statt nur zu besitzen und zuzugeben, dass, Sie weasel aus ihm."
Not Hope,Sarcasm,Wie wäre es mit dieser Erklärung - Sie lesen WAAAAAY zu viel in Ihrer wertvollen Bibel.
Not Hope,Sarcasm,"Das ist ziemlich verdammt lustig Kommen von Ihnen. Wenn ich falsch bin, warum haben Sie unzählige Threads, die verlassen wurden, nachdem Sie Menschen, die Sie widerlegt haben getroffen haben? ich spiele Shotgun mit Betrügern. Schauen Sie sich verführerisch im Wörterbuch. http://www.talkorigins.org/indexcc/ch/ch710_1.html wieder versuchen. basilio uchuya und seine Frau zu erwähnen, sie zu zeichnen, um Touristen basierend auf Comicbüchern zu verkaufen. Sie fiel für ein Touristen-Schema! wie lustig."
Not Hope,Sarcasm,"So seltsam, wie Venmo hat mich nicht venmoed noch wirklich dachte ich war die eine"
Hope,Sarcasm,"Einig, und das Fahrzeug, in dem sie fahren werden, wird der Prosperity Express sein.:)"
Not Hope,Sarcasm,"Es ist mir jetzt abundant klar, dass Sie entweder zu dumm sind, um meinen Punkt zu verstehen, oder Sie sind zu chicken, um es zu besprechen, oder vielleicht beide."
Not Hope,Sarcasm,falsch wieder!! .. wie nur höflich darauf hingewiesen wurde mir vor einer Minute ist es über ' was Termination stoppt ' und meine Antwort adressiert dies. es ist ein gültiger Punkt .. konzentrieren Sie sich auf das Leben hier zuerst für mehr unerwünschtes Leben kommen ein Teil des Systems. haben Sie ein unerwünschtes Kind adoptiert noch? wenn nicht ich würde vorlegen Sie sollten Sie Anti-Abtreibung Energie auf diese Kinder zuerst konzentrieren.
Not Hope,Sarcasm,"Sie ziehen mein Bein, richtig? Ich habe seit über 20 Jahren Wissenschaftler eingestellt und Sie werden eine Wiki-Referenz aufziehen, die ich selbst bearbeiten kann, um mich falsch zu beweisen? emoticonXWow Sagen Sie mir, haben Sie jemals einen Ingenieur oder einen Wissenschaftler getroffen? Haben Sie jemals gesehen, die Lehrpläne, die sie nehmen oder Sie ziehen Sie nur Aussagen von Ihrem Hinterkopf?"
Not Hope,Sarcasm,"Ich muss gesegnet sein, um von so vielen Postern mit einer direkten Linie zu Gott umgeben zu sein, so dass sie wissen, wer gerettet ist oder in der Hölle. mit Christen so gut informiert wie dies, ich bin überrascht, Gott nicht nur pensioniert und lässt sie übernehmen. schließlich, 6.000 Jahre seit der Schöpfung muss für jeden genug sein."
Hope,Sarcasm,"Good idea...except we don't really have to elect him to any post...just send him over there. Hopefully, he would beheaded by nightfall on the first day. emoticonXHoho"
Not Hope,Sarcasm,"Sie sind NATO, Sie haben eine endgültige Lösung für das ""Mexikanische Problem"" gerechtfertigt."
Not Hope,Sarcasm,"Ich liebe, wie das, was Sie 'persönlich' fühlen ist im direkten Konflikt mit ademischen Studien. Wissenschaft sagt Kraft = Masse x Beschleunigung, aber ich persönlich fühle, dass Kraft = Geschwindigkeit x Volumen, so dass die richtige Antwort sein muss."
Hope,Sarcasm,"hey hydra - - wissen Sie, was ich erstaunlich finde? alle Männer auf diesem Board, die Schwangerschaft nur eine minro Unannehmlichkeit gefunden. ich bin nur für sie ärgerlich, mir mehr über ihre Schwangerschaften zu erzählen...."
